168;149;186;68;546;536;619;132;27;307;184;298
274;220;441;454;382;216;164;541;510;400;122;328
437;31;494;587;66;247;430;524;102;237;230;610
148;248;108;517;56;410;567;4;613;142;482;263
323;618;419;26;57;304;571;272;309;433;34;514
286;353;527;519;603;371;381;333;294;62;242;166
163;550;250;109;389;99;296;67;562;621;290;456
289;525;141;205;602;443;496;380;51;295;317;111
85;159;291;586;243;222;483;555;423;551;330;71
506;202;129;185;6;181;498;565;625;444;252;313
168;149;186;68;546;536;619;132;27;307;184;298
274;220;441;454;382;216;164;541;510;400;122;328
437;31;494;587;66;247;430;524;102;237;230;610
148;248;108;517;56;410;567;4;613;142;482;263
323;618;419;26;57;304;571;272;309;433;34;514
286;353;527;519;603;371;381;333;294;62;242;166
163;550;250;109;389;99;296;67;562;621;290;456
289;525;141;205;602;443;496;380;51;295;317;111
85;159;291;586;243;222;483;555;423;551;330;71
506;202;129;185;6;181;498;565;625;444;252;313
168;149;186;68;546;536;619;132;27;307;184;298
274;220;441;454;382;216;164;541;510;400;122;328
437;31;494;587;66;247;430;524;102;237;230;610
148;248;108;517;56;410;567;4;613;142;482;263
323;618;419;26;57;304;571;272;309;433;34;514
286;353;527;519;603;371;381;333;294;62;242;166
163;550;250;109;389;99;296;67;562;621;290;456
289;525;141;205;602;443;496;380;51;295;317;111
85;159;291;586;243;222;483;555;423;551;330;71
506;202;129;185;6;181;498;565;625;444;252;313
