414;118;515;563;435;474;355;326;24;8;27;371
287;294;55;303;440;501;597;398;407;364;550;412
117;44;480;332;490;329;289;226;199;402;209;4
600;529;184;313;198;154;106;268;562;482;308;565
195;471;340;82;188;60;286;477;141;104;507;378
368;453;618;149;380;71;146;32;351;79;14;274
103;38;621;386;232;448;136;49;370;430;510;304
26;619;343;113;473;207;281;189;291;270;133;346
181;63;387;543;424;105;91;548;314;622;445;350
427;460;569;390;527;47;150;447;334;19;337;479
414;118;515;563;435;474;222;90;362;215;72;400
287;294;55;303;440;501;331;169;259;211;605;492
117;44;480;332;490;329;580;214;230;292;196;156
600;529;184;313;198;154;299;142;11;545;367;381
195;471;340;82;188;60;182;45;606;589;592;574
368;453;618;149;380;71;228;532;241;152;50;442
103;38;621;386;232;448;312;493;145;157;197;434
26;619;343;113;473;207;335;324;489;607;408;405
181;63;387;543;424;105;301;174;229;376;354;242
427;460;569;390;527;47;35;180;514;583;296;418
414;118;515;563;435;474;556;559;526;160;549;244
287;294;55;303;440;501;21;100;359;202;240;377
117;44;480;332;490;329;151;9;73;322;419;461
600;529;184;313;198;154;67;176;237;452;206;620
195;471;340;82;188;60;30;255;596;439;436;467
368;453;618;149;380;71;488;432;500;87;554;17
103;38;621;386;232;448;575;295;522;603;503;417
26;619;343;113;473;207;31;542;576;486;612;327
181;63;387;543;424;105;416;285;584;344;1;506
427;460;569;390;527;47;315;499;115;111;590;282
