621;525;619;38;473;16;126;383;265;535;506;245
439;542;212;479;373;114;524;235;112;34;174;118
280;317;434;177;610;470;612;482;300;301;264;472
23;175;252;366;480;521;417;595;539;446;75;323
522;78;196;205;33;92;349;82;614;97;189;186
77;466;268;25;397;131;498;4;297;502;94;413
188;487;391;368;50;41;455;329;172;278;210;178
453;302;67;165;336;208;6;257;145;129;14;60
226;147;496;269;130;324;590;593;478;360;465;346
149;52;199;58;127;387;21;144;599;96;217;276
59;164;115;53;582;337;396;250;415;356;304;74
70;91;141;509;123;617;375;490;424;241;544;392
449;488;168;600;426;384;163;352;106;371;580;183
343;428;351;242;87;256;190;197;29;405;290;386
594;606;515;321;583;508;260;28;315;462;1;364
18;549;618;433;429;344;62;270;305;137;623;416
440;9;243;548;604;504;459;79;611;526;224;281
213;409;431;422;284;286;561;318;393;291;573;206
277;430;484;597;230;341;7;330;15;35;89;47
547;201;161;247;287;451;558;613;24;117;39;42
119;540;427;374;425;454;66;31;376;192;309;142
274;246;158;322;365;530;203;493;251;536;194;576
333;227;390;37;572;262;233;532;22;510;221;136
345;185;511;259;616;475;467;121;401;134;400;585
513;335;342;150;448;45;464;48;258;592;562;166
379;601;311;240;339;334;332;564;98;193;579;253
57;295;100;64;358;559;232;406;285;288;363;195
389;523;468;215;340;591;436;27;116;88;445;350
534;326;586;605;159;602;43;402;30;543;408;444
460;450;36;527;275;220;497;545;236;56;171;518
